Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,10uF,C_0805_2012Metric,75.946,-107.442,90,top
C3,10uF,C_0805_2012Metric,82.55,-132.08,180,top
C4,100nF,C_0603_1608Metric,74.422,-84.074,90,top
C5,100nF,C_0603_1608Metric,74.422,-79.502,270,top
C6,100nF,C_0603_1608Metric,94.234,-84.074,90,top
C7,100nF,C_0603_1608Metric,94.234,-79.502,270,top
C8,100nF,C_0603_1608Metric,114.046,-84.074,90,top
C9,100nF,C_0603_1608Metric,114.046,-79.502,270,top
C10,100nF,C_0603_1608Metric,134.366,-84.074,90,top
C11,100nF,C_0603_1608Metric,134.366,-79.502,270,top
C12,100nF,C_0603_1608Metric,82.55,-133.985,180,top
C13,100nF,C_0603_1608Metric,82.55,-130.175,180,top
C14,100nF,C_0603_1608Metric,88.9,-130.175,180,top
D1,LED,LED_0805_2012Metric,125.73,-143.51,270,top
D2,LED,LED_0805_2012Metric,129.54,-143.51,270,top
D3,LED,LED_0805_2012Metric,133.35,-143.51,270,top
D4,LED,LED_0805_2012Metric,137.16,-143.51,270,top
D5,LED,LED_0805_2012Metric,140.97,-143.51,270,top
D6,LED,LED_0805_2012Metric,144.78,-143.51,270,top
D7,B5819W,D_SOD-123,92.71,-133.096,180,top
D8,B5819W,D_SOD-123,143.51,-113.03,270,top
Q1,MMBT3904,SOT-23,125.73,-134.874,90,top
Q2,MMBT3904,SOT-23,129.54,-134.874,90,top
Q3,MMBT3904,SOT-23,133.35,-134.874,90,top
Q4,MMBT3904,SOT-23,137.16,-134.874,90,top
Q5,MMBT3904,SOT-23,140.97,-134.874,90,top
Q6,MMBT3904,SOT-23,144.78,-134.874,90,top
Q7,MMBT3904,SOT-23,76.2,-132.08,90,top
Q8,MMBT3904,SOT-23,156.21,-124.46,270,top
Q9,MMBT3904,SOT-23,87.63,-88.646,90,top
Q10,MMBT3904,SOT-23,84.582,-75.438,180,top
Q11,MMBT3904,SOT-23,107.696,-88.646,90,top
Q12,MMBT3904,SOT-23,104.394,-75.438,180,top
Q13,MMBT3904,SOT-23,127.762,-88.646,90,top
Q14,MMBT3904,SOT-23,124.46,-75.438,180,top
Q15,MMBT3904,SOT-23,147.574,-88.646,90,top
Q16,MMBT3904,SOT-23,144.272,-75.438,180,top
R1,470,R_0603_1608Metric,88.392,-136.652,270,top
R11,1K,R_0603_1608Metric,153.035,-124.46,270,top
R12,1K,R_0603_1608Metric,125.73,-139.065,90,top
R13,1K,R_0603_1608Metric,129.54,-139.065,90,top
R14,1K8,R_0603_1608Metric,133.35,-139.065,90,top
R15,1K8,R_0603_1608Metric,137.16,-139.065,90,top
R16,1K8,R_0603_1608Metric,140.97,-139.065,90,top
R17,1K8,R_0603_1608Metric,144.78,-139.065,90,top
R20,2K2,R_0603_1608Metric,90.678,-88.138,90,top
R21,2K2,R_0603_1608Metric,79.502,-75.438,90,top
R22,2K2,R_0603_1608Metric,110.744,-88.138,90,top
R23,2K2,R_0603_1608Metric,98.806,-75.438,90,top
R24,2K2,R_0603_1608Metric,130.81,-88.138,90,top
R25,2K2,R_0603_1608Metric,118.618,-75.438,90,top
R26,2K2,R_0603_1608Metric,150.622,-88.138,90,top
R27,2K2,R_0603_1608Metric,138.938,-75.438,90,top
R28,2K2,R_0603_1608Metric,79.375,-125.73,180,top
R29,2K2,R_0603_1608Metric,126.619,-129.794,90,top
R30,2K2,R_0603_1608Metric,130.429,-129.794,90,top
R31,2K2,R_0603_1608Metric,134.239,-129.794,90,top
R32,2K2,R_0603_1608Metric,138.049,-129.794,90,top
R33,2K2,R_0603_1608Metric,141.859,-129.794,90,top
R34,2K2,R_0603_1608Metric,145.669,-129.794,90,top
R50,4K7,R_0603_1608Metric,152.781,-139.065,270,top
R51,4K7,R_0603_1608Metric,75.946,-75.438,270,top
R52,4K7,R_0603_1608Metric,95.758,-75.438,270,top
R53,4K7,R_0603_1608Metric,115.57,-75.438,270,top
R54,4K7,R_0603_1608Metric,135.636,-75.438,270,top
R64,10K,R_0603_1608Metric,151.13,-124.46,270,top
R65,10K,R_0603_1608Metric,90.678,-84.074,90,top
R66,10K,R_0603_1608Metric,110.744,-84.074,90,top
R67,10K,R_0603_1608Metric,130.81,-84.074,90,top
R68,10K,R_0603_1608Metric,150.622,-84.074,90,top
R69,10K,R_0603_1608Metric,79.375,-123.825,0,top
R70,10K,R_0603_1608Metric,124.714,-129.794,270,top
R71,10K,R_0603_1608Metric,128.524,-129.794,270,top
R72,10K,R_0603_1608Metric,132.334,-129.794,270,top
R73,10K,R_0603_1608Metric,136.144,-129.794,270,top
R74,10K,R_0603_1608Metric,139.954,-129.794,270,top
R75,10K,R_0603_1608Metric,143.764,-129.794,270,top
R76,10K,R_0603_1608Metric,81.28,-75.438,270,top
R77,10K,R_0603_1608Metric,100.838,-75.438,270,top
R78,10K,R_0603_1608Metric,120.65,-75.438,270,top
R79,10K,R_0603_1608Metric,140.97,-75.438,270,top
R81,330,R_0603_1608Metric,84.328,-88.138,90,top
R82,330,R_0603_1608Metric,104.394,-88.138,90,top
R83,330,R_0603_1608Metric,124.46,-88.138,90,top
R84,330,R_0603_1608Metric,144.272,-88.138,90,top
R90,0,R_0603_1608Metric,68.326,-139.446,270,top
R91,0,R_0603_1608Metric,90.678,-69.85,270,top
R92,0,R_0603_1608Metric,110.49,-69.85,270,top
R93,0,R_0603_1608Metric,130.81,-69.85,270,top
R94,0,R_0603_1608Metric,151.13,-68.58,270,top
U2,AMS1117-5.0,SOT-223-3_TabPin2,80.645,-112.014,90,top
U3,ADUM1201ARZ-RL7,SOIC-8_3.9x4.9mm_P1.27mm,78.232,-81.788,0,top
U4,ADUM1201ARZ-RL7,SOIC-8_3.9x4.9mm_P1.27mm,98.044,-81.788,0,top
U5,ADUM1201ARZ-RL7,SOIC-8_3.9x4.9mm_P1.27mm,117.856,-81.788,0,top
U6,ADUM1201ARZ-RL7,SOIC-8_3.9x4.9mm_P1.27mm,138.176,-81.788,0,top
U7,ADUM1201ARZ-RL7,SOIC-8_3.9x4.9mm_P1.27mm,85.725,-126.365,90,top
U8,EL357N(C),SO-4_4.4x3.9mm_P2.54mm,85.598,-81.788,90,top
U9,EL357N(C),SO-4_4.4x3.9mm_P2.54mm,105.664,-81.788,90,top
U10,EL357N(C),SO-4_4.4x3.9mm_P2.54mm,125.73,-81.788,90,top
U11,EL357N(C),SO-4_4.4x3.9mm_P2.54mm,145.542,-81.788,90,top
